synonyms,species,dataset
Calyptorhynchus_magnificus,Calyptorhynchus_banksii,itis1
Eolephus_roseicapillus,Eolophus_roseicapilla,itis1
Cacatura_alba,Cacatua_alba,itis1
Cacatura_ducorpsi,Cacatua_ducorpsii,itis1
Cacatura_galerita,Cacatua_galerita,itis1
Cacatura_goffini,Cacatua_goffiniana,itis1
Cacatura_haematuropygia,Cacatua_haematuropygia,itis1
Cacatura_leadbeateri,Cacatua_leadbeateri,itis1
Cacatura_moluccensis,Cacatua_moluccensis,itis1
Cacatura_ophthalmica,Cacatua_ophthalmica,itis1
Cacatura_sanguinea,Cacatua_sanguinea,itis1
Cacatura_sulphurea,Cacatua_sulphurea,itis1
Cacatura_tenuirostris,Cacatua_tenuirostris,itis1
Nicropsitta_bruijnii,Micropsitta_bruijnii,itis1
Nicropsitta_finschii,Micropsitta_finschii,itis1
Nicropsitta_geelvinkiana,Micropsitta_geelvinkiana,itis1
Nicropsitta_keiensis,Micropsitta_keiensis,itis1
Nicropsitta_meeki,Micropsitta_meeki,itis1
Opopsitta_diophthalma,Cyclopsitta_diophthalma,itis1
Opopsitta_gulielmiterti,Cyclopsitta_gulielmitertii,itis1
Psittaculirostris_edwardsi,Psittaculirostris_edwardsii,itis1
Psittaculirostris_salvadori,Psittaculirostris_salvadorii,itis1
Tanygnathus_megalorhynchus,Tanygnathus_megalorynchos,itis1
Polytelis_swainsoni,Polytelis_swainsonii,itis1
Platycercus_adelaidae,Platycercus_elegans,itis1
Platycerus_adscitus,Platycercus_adscitus,itis1
Platycerus_caledonicus,Platycercus_caledonicus,itis1
Platycerus_elegans,Platycercus_elegans,itis1
Platycerus_eximius,Platycercus_eximius,itis1
Platycerus_icterotis,Platycercus_icterotis,itis1
Platycerus_venustus,Platycercus_venustus,itis1
Platycercus_haematogaster,Northiella_haematogaster,itis1
Neophema_bourki,Neopsephotus_bourkii,itis1
Geopsittacus_occidentalis,Pezoporus_occidentalis,itis1
Stringops_habroptilus,Strigops_habroptila,itis1
Poicephalus_ruepellii,Poicephalus_rueppellii,itis1
Agapornis_cana,Agapornis_canus,itis1
Agapornis_nigrigensis,Agapornis_nigrigenis,itis1
Agapornis_personata,Agapornis_personatus,itis1
Agapornis_pullaria,Agapornis_pullarius,itis1
Agapornis_swinderniana,Agapornis_swindernianus,itis1
Psittacula_calthorpae,Psittacula_calthropae,itis1
Psittacula_cyanicephala,Psittacula_cyanocephala,itis1
Ara_ambigua,Ara_ambiguus,itis1
Ara_auricollis,Primolius_auricollis,itis1
Ara_chloroptera,Ara_chloropterus,itis1
Ara_couloni,Primolius_couloni,itis1
Ara_manilata,Orthopsittaca_manilata,itis1
Ara_maracana,Primolius_maracana,itis1
Ara_milstaris,Ara_militaris,itis1
Ara_nobilis,Diopsittaca_nobilis,itis1
Ara_severa,Ara_severus,itis1
Aratinga_acuticauda,Aratinga_acuticaudata,itis1
Aratinga_auricapilla,Aratinga_auricapillus,itis1
Aratinga_evops,Aratinga_euops,itis1
Aratinga_guarouba,Guaruba_guarouba,itis1
Aratinga_leucopthalmus,Aratinga_leucophthalma,itis1
Aratinga_weddelli,Aratinga_weddellii,itis1
Ognorhynchus_icte,Ognorhynchus_icterotis,itis1
Pyrrhura_hoematolis,Pyrrhura_hoematotis,itis1
Pyrrhura_rodogaster,Pyrrhura_perlata,itis1
Bolborhynchus_aurifrons,Psilopsiagon_aurifrons,itis1
Bolborhynchus_aymara,Psilopsiagon_aymara,itis1
Brotogeris_chrysopterus,Brotogeris_chrysoptera,itis1
Brotogeris_pyrrhopterus,Brotogeris_pyrrhoptera,itis1
Touit_batavica,Touit_batavicus,itis1
Touit_dilectissima,Touit_dilectissimus,itis1
Touit_melanonota,Touit_melanonotus,itis1
Touit_purpurata,Touit_purpuratus,itis1
Touit_stictoptera,Touit_stictopterus,itis1
Touit_surda,Touit_surdus,itis1
Pionites_melanocephala,Pionites_melanocephalus,itis1
Gypopsitta_vulturina,Pionopsitta_vulturina,itis1
Hapalopsittaca_amazonica,Hapalopsittaca_amazonina,itis1
Prionus_chalcopterus,Pionus_chalcopterus,itis1
Prionus_fuscus,Pionus_fuscus,itis1
Prionus_maximiliani,Pionus_maximiliani,itis1
Prionus_menstruus,Pionus_menstruus,itis1
Prionus_senilus,Pionus_senilis,itis1
Prionus_sordidus,Pionus_sordidus,itis1
Prionus_tumultuosus,Pionus_tumultuosus,itis1
Amazona_finschia,Amazona_finschi,itis1
Amazona_guildingi,Amazona_guildingii,itis1
Amazona_imperalis,Amazona_imperialis,itis1
Amazona_tucumara,Amazona_tucumana,itis1
Triclara_malachitacea,Triclaria_malachitacea,itis1
